Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,5/2/2010,1643690.9,0.00,42.31,2.57,211.10,8.11
1,12/2/2010,1641957.44,1.00,38.51,2.55,211.24,8.11
1,19-02-2010,1611968.17,0.00,39.93,2.51,211.29,8.11
1,26-02-2010,1409727.59,0.00,46.63,2.56,211.32,8.11
1,5/3/2010,1554806.68,0.00,46.50,2.63,211.35,8.11
1,12/3/2010,1439541.59,0.00,57.79,2.67,211.38,8.11
1,19-03-2010,1472515.79,0.00,54.58,2.72,211.22,8.11
1,26-03-2010,1404429.92,0.00,51.45,2.73,211.02,8.11
1,2/4/2010,1594968.28,0.00,62.27,2.72,210.82,7.81
1,9/4/2010,1545418.53,0.00,65.86,2.77,210.62,7.81
1,16-04-2010,1466058.28,0.00,66.32,2.81,210.49,7.81
1,23-04-2010,1391256.12,0.00,64.84,2.80,210.44,7.81
1,30-04-2010,1425100.71,0.00,67.41,2.78,210.39,7.81
1,7/5/2010,1603955.12,0.00,72.55,2.84,210.34,7.81
1,14-05-2010,1494251.5,0.00,74.78,2.85,210.34,7.81
1,21-05-2010,1399662.07,0.00,76.44,2.83,210.62,7.81
1,28-05-2010,1432069.95,0.00,80.44,2.76,210.90,7.81
1,4/6/2010,1615524.71,0.00,80.69,2.71,211.18,7.81
1,11/6/2010,1542561.09,0.00,80.43,2.67,211.46,7.81
1,18-06-2010,1503284.06,0.00,84.11,2.64,211.45,7.81
1,25-06-2010,1422711.6,0.00,84.34,2.65,211.34,7.81
1,2/7/2010,1492418.14,0.00,80.91,2.67,211.22,7.79
1,9/7/2010,1546074.18,0.00,80.48,2.64,211.11,7.79
1,16-07-2010,1448938.92,0.00,83.15,2.62,211.10,7.79
1,23-07-2010,1385065.2,0.00,83.36,2.61,211.24,7.79
1,30-07-2010,1371986.6,0.00,81.84,2.64,211.37,7.79
1,6/8/2010,1605491.78,0.00,87.16,2.63,211.50,7.79
1,13-08-2010,1508237.76,0.00,87.00,2.69,211.64,7.79
1,20-08-2010,1513080.49,0.00,86.65,2.66,211.60,7.79
1,27-08-2010,1449142.92,0.00,85.22,2.62,211.57,7.79
1,3/9/2010,1540163.53,0.00,81.21,2.58,211.53,7.79
1,10/9/2010,1507460.69,1.00,78.69,2.57,211.50,7.79
1,17-09-2010,1430378.67,0.00,82.11,2.58,211.52,7.79
1,24-09-2010,1351791.03,0.00,80.94,2.62,211.60,7.79
1,1/10/2010,1453329.5,0.00,71.89,2.60,211.67,7.84
1,8/10/2010,1508239.93,0.00,63.93,2.63,211.75,7.84
1,15-10-2010,1459409.1,0.00,67.18,2.72,211.81,7.84
1,22-10-2010,1345454,0.00,69.86,2.73,211.86,7.84
1,29-10-2010,1384209.22,0.00,69.64,2.72,211.91,7.84
1,5/11/2010,1551659.28,0.00,58.74,2.69,211.96,7.84
1,12/11/2010,1494479.49,0.00,59.61,2.73,212.00,7.84
1,19-11-2010,1483784.18,0.00,51.41,2.77,211.89,7.84
1,26-11-2010,1955624.11,1.00,64.52,2.74,211.75,7.84
1,3/12/2010,1548033.78,0.00,49.27,2.71,211.61,7.84
1,10/12/2010,1682614.26,0.00,46.33,2.84,211.47,7.84
1,17-12-2010,1891034.93,0.00,49.84,2.87,211.41,7.84
1,24-12-2010,2387950.2,0.00,52.33,2.89,211.41,7.84
1,31-12-2010,1367320.01,1.00,48.43,2.94,211.40,7.84
1,7/1/2011,1444732.28,0.00,48.27,2.98,211.40,7.74
1,14-01-2011,1391013.96,0.00,35.40,2.98,211.46,7.74
1,21-01-2011,1327405.42,0.00,44.04,3.02,211.83,7.74
1,28-01-2011,1316899.31,0.00,43.83,3.01,212.20,7.74
1,4/2/2011,1606629.58,0.00,42.27,2.99,212.57,7.74
1,11/2/2011,1649614.93,1.00,36.39,3.02,212.94,7.74
1,18-02-2011,1686842.78,0.00,57.36,3.05,213.25,7.74
1,25-02-2011,1456800.28,0.00,62.90,3.07,213.54,7.74
1,4/3/2011,1636263.41,0.00,59.58,3.29,213.82,7.74
1,11/3/2011,1553191.63,0.00,53.56,3.46,214.11,7.74
1,18-03-2011,1576818.06,0.00,62.76,3.49,214.36,7.74
1,25-03-2011,1541102.38,0.00,69.97,3.47,214.60,7.74
1,1/4/2011,1495064.75,0.00,59.17,3.52,214.84,7.68
1,8/4/2011,1614259.35,0.00,67.84,3.62,215.07,7.68
1,15-04-2011,1559889,0.00,71.27,3.74,215.29,7.68
1,22-04-2011,1564819.81,0.00,72.99,3.81,215.46,7.68
1,29-04-2011,1455090.69,0.00,72.03,3.81,215.63,7.68
1,6/5/2011,1629391.28,0.00,64.61,3.91,215.80,7.68
1,13-05-2011,1604775.58,0.00,75.64,3.90,215.96,7.68
1,20-05-2011,1428218.27,0.00,67.63,3.91,215.73,7.68
1,27-05-2011,1466046.67,0.00,77.72,3.79,215.50,7.68
1,3/6/2011,1635078.41,0.00,83.00,3.70,215.27,7.68
1,10/6/2011,1588948.32,0.00,83.13,3.65,215.04,7.68
1,17-06-2011,1532114.86,0.00,86.41,3.64,215.00,7.68
1,24-06-2011,1438830.15,0.00,83.58,3.59,215.09,7.68
1,1/7/2011,1488538.09,0.00,85.55,3.52,215.18,7.96
1,8/7/2011,1534849.64,0.00,85.83,3.48,215.28,7.96
